Expiry	Put 0.100000	Put 0.250000	ATM	Call 0.250000	Call 0.100000	
0.58	1.14964277421	1.28153377969	1.41282074819	1.55582189227	1.72808586317	
0.59	1.14807656921	1.28080891525	1.41300018781	1.55709867935	1.7308662582	
0.6	1.14652563465	1.28009113194	1.41317965023	1.55836912783	1.73363343323	
0.61	1.14498963031	1.27938027645	1.41335913545	1.55963337349	1.73638768375	
0.62	1.14346822816	1.27867620085	1.41353864346	1.56089154748	1.73912929494	
0.63	1.14196111178	1.27797876233	1.41371817426	1.5621437765	1.7418585422	
0.64	1.14046797577	1.27728782298	1.41389772787	1.56339018306	1.74457569159	
0.65	1.13898852525	1.27660324952	1.41407730429	1.56463088565	1.74728100026	
0.66	1.13752247535	1.27592491313	1.41425690351	1.56586599889	1.74997471688	
0.67	1.13606955073	1.2752526892	1.41443652554	1.56709563376	1.75265708199	
0.68	1.13462948518	1.27458645717	1.41461617039	1.56831989772	1.75532832841	
0.69	1.13320202114	1.27392610034	1.41479583805	1.56953889488	1.75798868157	
0.7	1.13178690937	1.27327150572	1.41497552853	1.57075272613	1.76063835978	
0.71	1.13038390858	1.2726225638	1.41515524183	1.5719614893	1.76327757464	
0.72	1.12899278503	1.2719791685	1.41533497796	1.57316527926	1.76590653123	
0.73	1.12761331225	1.27134121694	1.41551473692	1.57436418809	1.76852542843	
0.74	1.12624527072	1.27070860934	1.41569451871	1.57555830513	1.77113445918	
0.75	1.12488844757	1.27008124891	1.41587432333	1.57674771713	1.77373381072	
0.76	1.12354263631	1.2694590417	1.41605415079	1.57793250836	1.77632366481	
0.77	1.12220763654	1.26884189646	1.41623400108	1.5791127607	1.77890419797	
0.78	1.12088325376	1.26822972461	1.41641387422	1.5802885537	1.78147558167	
0.79	1.11956929907	1.26762244006	1.41659377021	1.58145996474	1.78403798254	
0.8	1.11826558898	1.26701995914	1.41677368904	1.58262706904	1.78659156256	
0.81	1.11697194519	1.26642220052	1.41695363073	1.5837899398	1.78913647923	
0.82	1.11568819439	1.26582908508	1.41713359527	1.58494864824	1.79167288575	
0.83	1.11441416808	1.26524053588	1.41731358266	1.58610326369	1.79420093119	
0.84	1.11314970234	1.26465647805	1.41749359292	1.58725385364	1.7967207606	
0.85	1.11189463772	1.26407683868	1.41767362603	1.58840048384	1.79923251523	
0.86	1.11064881903	1.26350154681	1.41785368202	1.58954321834	1.80173633259	
0.87	1.1094120952	1.26293053333	1.41803376087	1.59068211954	1.80423234666	
0.88	1.10818431912	1.26236373091	1.41821386259	1.59181724829	1.80672068796	
0.89	1.10696534751	1.26180107393	1.41839398719	1.59294866389	1.80920148369	
0.9	1.10575504077	1.26124249844	1.41857413467	1.59407642419	1.81167485787	
0.91	1.10455326286	1.26068794209	1.41875430502	1.5952005856	1.81414093142	
0.92	1.10335988117	1.26013734407	1.41893449826	1.59632120318	1.81659982226	
0.93	1.10217476639	1.25959064509	1.41911471439	1.59743833065	1.81905164545	
0.94	1.10099779242	1.25904778726	1.4192949534	1.59855202047	1.82149651327	
0.95	1.09982883624	1.25850871412	1.41947521531	1.59966232382	1.82393453529	
0.96	1.09866777782	1.25797337054	1.41965550011	1.60076929073	1.82636581848	
0.97	1.09751450001	1.2574417027	1.4198358078	1.60187297004	1.82879046731	
0.98	1.09636888846	1.25691365803	1.4200161384	1.60297340947	1.8312085838	
0.99	1.09523083149	1.25638918519	1.4201964919	1.60407065566	1.83362026762	
1.0	1.09410022007	1.25586823403	1.42037686831	1.6051647542	1.83602561615	
1.01	1.09306999882	1.25539893924	1.42053524916	1.60613628091	1.83818620101	
