"JPY Swaption 6M15Y PY .5","JPY","6","M","15","Y","PY"," .5","JPRF15N"
"JPY Swaption 6M20Y PY .5","JPY","6","M","20","Y","PY"," .5","JPRF20N"
"JPY Swaption 10Y1Y PY .5","JPY","10","Y","1","Y","PY"," .5","JPR101N"
"JPY Swaption 10Y2Y PY .5","JPY","10","Y","2","Y","PY"," .5","JPR1002N"
"USD Swaption 6M2Y PY 0.5","USD","6","M","2","Y","PY"," 0.5","USPK2RD"
"USD Swaption 6M5Y PY 0.5","USD","6","M","5","Y","PY"," 0.5","USPK5RD"
"USD Swaption 2Y5Y PY 0.5","USD","2","Y","5","Y","PY"," 0.5","USPA5RD"
"USD Swaption 3Y2Y PY 0.5","USD","3","Y","2","Y","PY"," 0.5","USPL2RD"
"USD Swaption 3Y5Y PY 0.5","USD","3","Y","5","Y","PY"," 0.5","USPL5RD"
"USD Swaption 1Y2Y PY 1","USD","1","Y","2","Y","PY"," 1","USPAJ2RF"
"USD Swaption 2Y5Y PY 1","USD","2","Y","5","Y","PY"," 1","USPA5RF"
"USD Swaption 3Y2Y PY 1","USD","3","Y","2","Y","PY"," 1","USPL2RF"
"USD Swaption 3Y5Y PY 1","USD","3","Y","5","Y","PY"," 1","USPL5RF"
"USD Swaption 3Y10Y PY 1","USD","3","Y","10","Y","PY"," 1","USPL10RF"
"USD Swaption 3Y30Y PY 1","USD","3","Y","30","Y","PY"," 1","USPL30RF"
"USD Swaption 5Y2Y PY 1","USD","5","Y","2","Y","PY"," 1","USPFJ2RF"
"USD Swaption 2Y30Y PY 1","USD","2","Y","30","Y","PY"," 1","USPA30RF"
"USD Swaption 6M2Y PY .75","USD","6","M","2","Y","PY"," .75","USPK2PG"
"USD Swaption 3M1Y PY .75","USD","3","M","1","Y","PY"," .75","USP51PG"
"USD Swaption 3M2Y PY .75","USD","3","M","2","Y","PY"," .75","USP52PG"
"USD Swaption 3M5Y PY .75","USD","3","M","5","Y","PY"," .75","USP55PG"
"USD Swaption 6M1Y PY .75","USD","6","M","1","Y","PY"," .75","USPK1PG"
"USD Swaption 6M5Y PY .75","USD","6","M","5","Y","PY"," .75","USPK5PG"
"USD Swaption 2Y1Y PY .75","USD","2","Y","1","Y","PY"," .75","USPA1PG"
"USD Swaption 2Y2Y PY .75","USD","2","Y","2","Y","PY"," .75","USPA2PG"
"USD Swaption 2Y5Y PY .75","USD","2","Y","5","Y","PY"," .75","USPA5PG"
"USD Swaption 5Y1Y PY .75","USD","5","Y","1","Y","PY"," .75","USPFJ1PG"
"USD Swaption 5Y5Y PY .75","USD","5","Y","5","Y","PY"," .75","USPFJ5PG"
"USD Swaption 5Y2Y PY .75","USD","5","Y","2","Y","PY"," .75","USPFJ2PG"
"USD Swaption 6M1Y  PY 1","USD","6","M","1","Y","PY"," 1","USP5S76S"
"USD Swaption 6M2Y  PY 1","USD","6","M","2","Y","PY"," 1","USP5SDIC"
"USD Swaption 6M5Y  PY 1","USD","6","M","5","Y","PY"," 1","USP5V0BO"
"USD Swaption 6M10Y PY 1","USD","6","M","10","Y","PY"," 1","USP5V6N8"
"USD Swaption 6M20Y PY 1","USD","6","M","20","Y","PY"," 1","USP5VJAC"
"USD Swaption 6M30Y PY 1","USD","6","M","30","Y","PY"," 1","USP5VVXG"
"USD Swaption 6M1Y PY .25","USD","6","M","1","Y","PY"," .25","USP5S3YX"
"USD Swaption 6M2Y PY .25","USD","6","M","2","Y","PY"," .25","USP5SAAH"
"USD Swaption 6M5Y PY .25","USD","6","M","5","Y","PY"," .25","USP5UX3T"
"USD Swaption 6M1Y PY .50","USD","6","M","1","Y","PY"," .50","USP5S3ZM"
"USD Swaption 6M2Y PY .50","USD","6","M","2","Y","PY"," .50","USP5SAB6"
"USD Swaption 6M5Y PY .50","USD","6","M","5","Y","PY"," .50","USP5UX4I"
"USD Swaption 6M1Y PY .75","USD","6","M","1","Y","PY"," .75","USP5S40B"
"USD Swaption 6M2Y PY .75","USD","6","M","2","Y","PY"," .75","USP5SABV"
"USD Swaption 6M5Y PY .75","USD","6","M","5","Y","PY"," .75","USP5UX57"
"USD Swaption 6M1Y PY 1","USD","6","M","1","Y","PY"," 1","USP5S410"
"USD Swaption 6M2Y PY 1","USD","6","M","2","Y","PY"," 1","USP5SACK"
"USD Swaption 6M5Y PY 1","USD","6","M","5","Y","PY"," 1","USP5UX5W"
"USD Swaption 6M20Y PY 1","USD","6","M","20","Y","PY"," 1","USP5VG4K"
"USD Swaption 6M30Y PY 1","USD","6","M","30","Y","PY"," 1","USP5VSRO"
"USD Swaption 6M10Y PY 1","USD","6","M","10","Y","PY"," 1","USP5V3HG"
"USD Swaption 3Y5Y  PY 25","USD","3","Y","5","Y","PY"," 25","USBDP305"
"USD Swaption 3Y10Y PY 25","USD","3","Y","10","Y","PY"," 25","USBDP310"
"USD Swaption 3Y20Y PY 25","USD","3","Y","20","Y","PY"," 25","USBDP320"
"USD Swaption 3Y30Y PY 25","USD","3","Y","30","Y","PY"," 25","USBDP330"
"USD Swaption 4Y5Y  PY 25","USD","4","Y","5","Y","PY"," 25","USBDP405"
"USD Swaption 4Y10Y PY 25","USD","4","Y","10","Y","PY"," 25","USBDP410"
"USD Swaption 4Y20Y PY 25","USD","4","Y","20","Y","PY"," 25","USBDP420"
"USD Swaption 4Y30Y PY 25","USD","4","Y","30","Y","PY"," 25","USBDP430"
"USD Swaption 3Y5Y  PY 50","USD","3","Y","5","Y","PY"," 50","USBCP305"
"USD Swaption 3Y10Y PY 50","USD","3","Y","10","Y","PY"," 50","USBCP310"
"USD Swaption 3Y20Y PY 50","USD","3","Y","20","Y","PY"," 50","USBCP320"
"USD Swaption 3Y30Y PY 50","USD","3","Y","30","Y","PY"," 50","USBCP330"
"USD Swaption 4Y5Y  PY 50","USD","4","Y","5","Y","PY"," 50","USBCP405"
"USD Swaption 4Y10Y PY 50","USD","4","Y","10","Y","PY"," 50","USBCP410"
"USD Swaption 4Y20Y PY 50","USD","4","Y","20","Y","PY"," 50","USBCP420"
"USD Swaption 4Y30Y PY 50","USD","4","Y","30","Y","PY"," 50","USBCP430"
"USD Swaption 3Y5Y  PY 1","USD","3","Y","5","Y","PY"," 1","USBBP305"
"USD Swaption 3Y10Y PY 1","USD","3","Y","10","Y","PY"," 1","USBBP310"
"USD Swaption 3Y30Y PY 1","USD","3","Y","30","Y","PY"," 1","USBBP330"
"USD Swaption 4Y5Y  PY 1","USD","4","Y","5","Y","PY"," 1","USBBP405"
"USD Swaption 4Y10Y PY 1","USD","4","Y","10","Y","PY"," 1","USBBP410"
"USD Swaption 4Y20Y PY 1","USD","4","Y","20","Y","PY"," 1","USBBP420"
"USD Swaption 4Y30Y PY 1","USD","4","Y","30","Y","PY"," 1","USBBP430"
"USD Swaption 3Y5Y  PY 2","USD","3","Y","5","Y","PY"," 2","USBAP305"
"USD Swaption 3Y20Y PY 1","USD","3","Y","20","Y","PY"," 1","USBBP320"
"USD Swaption 3Y10Y PY 2","USD","3","Y","10","Y","PY"," 2","USBAP310"
"USD Swaption 3Y20Y PY 2","USD","3","Y","20","Y","PY"," 2","USBAP320"
"USD Swaption 3Y30Y PY 2","USD","3","Y","30","Y","PY"," 2","USBAP330"
"USD Swaption 4Y5Y  PY 2","USD","4","Y","5","Y","PY"," 2","USBAP405"
"USD Swaption 4Y10Y PY 2","USD","4","Y","10","Y","PY"," 2","USBAP410"
"USD Swaption 4Y20Y PY 2","USD","4","Y","20","Y","PY"," 2","USBAP420"
"USD Swaption 4Y30Y PY 2","USD","4","Y","30","Y","PY"," 2","USBAP430"
"USD Swaption 3Y20Y PY 5","USD","3","Y","20","Y","PY"," 5","USPL20RD"
"USD Swaption 4Y5Y  PY 5","USD","4","Y","5","Y","PY"," 5","USPN5RD"
"USD Swaption 4Y10Y PY 5","USD","4","Y","10","Y","PY"," 5","USPN10RD"
"USD Swaption 4Y20Y PY 5","USD","4","Y","20","Y","PY"," 5","USPN20RD"
"USD Swaption 4Y30Y PY 5","USD","4","Y","30","Y","PY"," 5","USPN30RD"
"USD Swaption 3Y20Y PY 1","USD","3","Y","20","Y","PY"," 1","USPL20RF"
"USD Swaption 4Y5Y  PY 1","USD","4","Y","5","Y","PY"," 1","USPN5RF"
"USD Swaption 4Y10Y PY 1","USD","4","Y","10","Y","PY"," 1","USPN10RF"
"USD Swaption 4Y20Y PY 1","USD","4","Y","20","Y","PY"," 1","USPN20RF"
"USD Swaption 4Y30Y PY 1","USD","4","Y","30","Y","PY"," 1","USPN30RF"
"USD Swaption 3Y30Y PY 2","USD","3","Y","30","Y","PY"," 2","USPL30RH"
"USD Swaption 3Y10Y PY 2","USD","3","Y","10","Y","PY"," 2","USPL10RH"
"USD Swaption 3Y20Y PY 2","USD","3","Y","20","Y","PY"," 2","USPL20RH"
"USD Swaption 3Y5Y PY 2","USD","3","Y","5","Y","PY"," 2","USPL5RH"
"USD Swaption 4Y5Y  PY 2","USD","4","Y","5","Y","PY"," 2","USPN5RH"
"USD Swaption 4Y10Y PY 2","USD","4","Y","10","Y","PY"," 2","USPN10RH"
"USD Swaption 4Y20Y PY 2","USD","4","Y","20","Y","PY"," 2","USPN20RH"
"USD Swaption 4Y30Y PY 2","USD","4","Y","30","Y","PY"," 2","USPN30RH"
"USD Swaption 3Y5Y  PY 75","USD","3","Y","5","Y","PY"," 75","USBGP305"
"USD Swaption 3Y10Y PY 75","USD","3","Y","10","Y","PY"," 75","USBGP310"
"USD Swaption 3Y20Y PY 75","USD","3","Y","20","Y","PY"," 75","USBGP320"
"USD Swaption 3Y30Y PY 75","USD","3","Y","30","Y","PY"," 75","USBGP330"
"USD Swaption 4Y5Y  PY 75","USD","4","Y","5","Y","PY"," 75","USBGP405"
"USD Swaption 4Y10Y PY 75","USD","4","Y","10","Y","PY"," 75","USBGP410"
"USD Swaption 4Y20Y PY 75","USD","4","Y","20","Y","PY"," 75","USBGP420"
"USD Swaption 4Y30Y PY 75","USD","4","Y","30","Y","PY"," 75","USBGP430"
"USD Swaption 3Y5Y PY 75","USD","3","Y","5","Y","PY"," 75","USPL5RK"
"USD Swaption 3Y10Y PY 75","USD","3","Y","10","Y","PY"," 75","USPL10RK"
"USD Swaption 3Y20Y PY 75","USD","3","Y","20","Y","PY"," 75","USPL20RK"
"USD Swaption 3Y30Y PY 75","USD","3","Y","30","Y","PY"," 75","USPL30RK"
"USD Swaption 4Y5Y  PY 75","USD","4","Y","5","Y","PY"," 75","USPN5RK"
"USD Swaption 4Y10Y PY 75","USD","4","Y","10","Y","PY"," 75","USPN10RK"
"USD Swaption 4Y20Y PY 75","USD","4","Y","20","Y","PY"," 75","USPN20RK"
"USD Swaption 4Y30Y PY 75","USD","4","Y","30","Y","PY"," 75","USPN30RK"
"USD Swaption 3M3M PY 0.2","USD","3","M","3","M","PY"," 0.2","USP5E5G9"
"USD Swaption 3M3M PY 0.2","USD","3","M","3","M","PY"," 0.2","USP5E2AH"
"USD Swaption 3M3M PY 0.5","USD","3","M","3","M","PY"," 0.5","USP5E5GY"
"USD Swaption 3M3M PY 0.5","USD","3","M","3","M","PY"," 0.5","USP5E2B6"
"USD Swaption 3M3M PY 0.7","USD","3","M","3","M","PY"," 0.7","USP5E5HN"
"USD Swaption 3M3M PY 1","USD","3","M","3","M","PY"," 1","USP5E5IC"
"USD Swaption 3M3M PY 1","USD","3","M","3","M","PY"," 1","USP5E2CK"
"USD Swaption 3M3M PY 0.7","USD","3","M","3","M","PY"," 0.7","USP5E2BV"
"USD Swaption 3M3M PY 2","USD","3","M","3","M","PY"," 2","USP5E5L4"
"USD Swaption 3M3M PY 2","USD","3","M","3","M","PY"," 2","USP5E2FC"
"USD Swaption 3M1Y PY 0.2","USD","3","M","1","Y","PY"," 0.2","USP5GVFD"
"USD Swaption 3M1Y PY 0.5","USD","3","M","1","Y","PY"," 0.5","USP5GYLU"
"USD Swaption 3M1Y PY 0.5","USD","3","M","1","Y","PY"," 0.5","USP5GVG2"
"USD Swaption 3M1Y PY 0.7","USD","3","M","1","Y","PY"," 0.7","USP5GVGR"
"USD Swaption 3M1Y PY 1","USD","3","M","1","Y","PY"," 1","USP5GYN8"
"USD Swaption 3M1Y PY 1","USD","3","M","1","Y","PY"," 1","USP5GVHG"
"USD Swaption 3M1Y PY 2","USD","3","M","1","Y","PY"," 2","USP5GYQ0"
"USD Swaption 3M1Y PY 2","USD","3","M","1","Y","PY"," 2","USP5GVK8"
"USD Swaption 3M2Y PY .25","USD","3","M","2","Y","PY"," .25","USP5H4WP"
"USD Swaption 3M2Y PY 0.5","USD","3","M","2","Y","PY"," 0.5","USP5H4XE"
"USD Swaption 3M2Y PY 0.5","USD","3","M","2","Y","PY"," 0.5","USP5H1RM"
"USD Swaption 3M2Y PY 0.7","USD","3","M","2","Y","PY"," 0.7","USP5H1SB"
"USD Swaption 3M2Y PY 1","USD","3","M","2","Y","PY"," 1","USP5H4YS"
"USD Swaption 3M2Y PY 1","USD","3","M","2","Y","PY"," 1","USP5H1T0"
"USD Swaption 3M2Y PY 2","USD","3","M","2","Y","PY"," 2","USP5H51K"
"USD Swaption 3M2Y PY 2","USD","3","M","2","Y","PY"," 2","USP5H1VS"
"USD Swaption 3M5Y PY 0.2","USD","3","M","5","Y","PY"," 0.2","USP5JOK9"
"USD Swaption 3M5Y PY 0.5","USD","3","M","5","Y","PY"," 0.5","USP5JRQQ"
"USD Swaption 3M5Y PY 0.5","USD","3","M","5","Y","PY"," 0.5","USP5JOKY"
"USD Swaption 3M5Y PY 0.7","USD","3","M","5","Y","PY"," 0.7","USP5JOLN"
"USD Swaption 3M5Y PY 1","USD","3","M","5","Y","PY"," 1","USP5JRS4"
"USD Swaption 3M5Y PY 1","USD","3","M","5","Y","PY"," 1","USP5JOMC"
"USD Swaption 3M5Y PY 2","USD","3","M","5","Y","PY"," 2","USP5JRUW"
"USD Swaption 3M5Y PY 2","USD","3","M","5","Y","PY"," 2","USP5JOP4"
"USD Swaption 3M10Y PY 0.","USD","3","M","10","Y","PY"," 0.","USP5JUX7"
